City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Tarija,BO,-21.54,-64.73,91.4,19,75,11.41,broken clouds
198,Esperance,AU,-33.87,121.9,57.2,100,90,10.29,overcast clouds
199,Piopio,NZ,-38.47,175.02,48.0,85,100,8.01,overcast clouds
200,Sarkand,KZ,45.41,79.92,44.55,54,0,3.06,clear sky
201,Nanortalik,GL,60.14,-45.24,36.95,86,8,3.06,clear sky
202,Cherskiy,RU,68.75,161.3,30.69,93,64,8.75,broken clouds
203,Ambovombe,MG,-25.17,46.08,64.27,80,0,7.36,clear sky
204,Margate,GB,51.38,1.39,60.01,79,100,17.0,overcast clouds
205,Bela Vista,BR,-22.11,-56.52,102.27,24,34,7.29,scattered clouds
206,Laguna,US,38.42,-121.42,89.01,32,1,11.41,clear sky
207,Acapulco,MX,16.86,-99.89,87.8,70,75,5.82,broken clouds
208,Popondetta,PG,-8.75,148.25,71.01,92,80,2.95,light rain
209,Pacific Grove,US,36.62,-121.92,87.01,56,1,5.82,clear sky
210,Southbridge,US,42.08,-72.03,70.0,34,0,1.99,clear sky
211,Hobyo,SO,5.35,48.53,80.06,84,4,16.26,light rain
212,Pucara,PE,-15.98,-71.46,71.6,15,40,10.29,scattered clouds
213,Richards Bay,ZA,-28.78,32.04,65.71,70,89,5.75,overcast clouds
214,Lauria,IT,40.05,15.84,55.62,69,100,4.47,overcast clouds
215,Zyryanka,RU,65.75,150.85,24.53,94,100,5.37,overcast clouds
216,Manavalakurichi,IN,8.13,77.3,80.6,94,40,18.07,mist
217,Satipo,PE,-11.25,-74.64,88.57,38,57,3.56,light rain
218,Saint George,US,37.1,-113.58,73.4,13,1,3.36,clear sky
219,Shakawe,BW,-18.37,21.85,76.15,24,37,6.62,scattered clouds
220,Riyadh,SA,24.69,46.72,73.4,27,0,4.43,clear sky
221,Doaba,PK,33.42,70.74,65.64,27,0,3.2,clear sky
222,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,39.2,100,75,2.24,fog
223,San Quintin,MX,30.48,-115.95,84.18,39,0,10.02,clear sky
224,Den Helder,NL,52.96,4.76,52.0,71,90,16.11,overcast clouds
225,Murray Bridge,AU,-35.12,139.27,75.0,37,100,5.99,overcast clouds
226,Chilca,PE,-12.52,-76.74,64.4,72,90,9.17,overcast clouds
227,Lagoa,PT,39.05,-27.98,69.06,80,60,9.28,broken clouds
228,Tuatapere,NZ,-46.13,167.68,39.0,93,0,1.99,clear sky
229,Pevek,RU,69.7,170.31,33.21,88,100,18.21,overcast clouds
230,Bouna,CI,9.27,-3.0,76.75,85,85,4.0,overcast clouds
231,Cockburn Town,TC,21.46,-71.14,83.75,75,12,10.98,few clouds
232,Carnarvon,AU,-24.87,113.63,66.2,82,0,18.34,clear sky
233,Lesnoye,RU,58.28,35.52,45.23,88,100,9.37,overcast clouds
234,Samarai,PG,-10.62,150.67,78.62,85,44,15.39,moderate rain
235,Constitucion,CL,-35.33,-72.42,59.58,75,6,4.63,clear sky
236,Husavik,IS,66.04,-17.34,48.2,57,100,18.34,overcast clouds
237,Iqaluit,CA,63.75,-68.51,35.6,97,90,21.92,light rain
238,Muisne,EC,0.6,-80.03,77.02,77,76,9.84,broken clouds
239,Burgos,ES,42.34,-3.71,44.01,86,40,6.93,scattered clouds
240,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,84.92,66,82,8.41,broken clouds
241,Mnogovershinnyy,RU,53.94,139.92,23.63,89,2,8.39,clear sky
242,Ahipara,NZ,-35.17,173.17,56.52,72,16,14.05,few clouds
243,Guanare,VE,9.04,-69.74,86.83,66,14,2.86,few clouds
244,Broome,US,42.25,-75.83,66.0,36,1,13.87,clear sky
245,Dudinka,RU,69.41,86.18,23.0,100,75,13.42,light shower snow
246,Katsuura,JP,35.13,140.3,66.2,72,75,12.75,light rain
247,Knysna,ZA,-34.04,23.05,55.4,93,0,2.24,clear sky
248,Puerto Escondido,MX,15.85,-97.07,87.8,66,75,9.17,broken clouds
249,Dongsheng,CN,39.82,109.98,39.2,65,0,5.1,clear sky
250,Dandong,CN,40.13,124.39,36.99,69,0,2.8,clear sky
251,Mount Gambier,AU,-37.83,140.77,59.0,82,100,17.22,light rain
252,Manta,EC,-0.95,-80.73,78.8,74,75,13.87,broken clouds
253,Kirovsk,UA,48.64,38.64,62.26,60,34,4.81,scattered clouds
254,Hof,DE,50.32,11.92,42.01,98,100,11.01,overcast clouds
